epoch,lossD,lossG
0,-65.72760661705725,26.46821661010734
1,-47.87148708676987,32.81868487888816
2,-39.75630035430892,33.8532042513524
3,-34.979567617749865,34.73841099444229
4,-31.864115937432246,34.77384334637412
5,-29.764233524611257,35.129342910831674
6,-27.97616197915474,35.46272152573315
7,-26.16485691578912,34.867353951753074
8,-24.885646939913094,34.96581901517758
9,-23.687705391632722,34.60449249861337
10,-22.79418785765227,34.50661584207498
11,-21.965718410543797,33.807987231435554
12,-21.29062991686213,33.768464409720416
13,-20.708753909129324,33.71247029457011
14,-20.158801567834068,33.56410466582536
15,-19.709539676653044,33.180809868932535
16,-19.238899414981606,32.40206451456684
17,-18.76336797042442,32.32129147210355
18,-18.458813876866785,31.913649266208413
19,-18.0850142294537,31.35907493013817
20,-17.782188891284246,31.203716314677745
21,-17.42913639488251,30.531727660693594
22,-17.17190007881315,30.56841922060513
23,-16.839273100977007,30.87277702177003
24,-16.583293002615097,30.287408391549896
25,-16.411471338287345,30.399624285667436
26,-16.127430431242946,30.524086809870024
27,-15.898250197868611,30.009134963631375
28,-15.664958581423708,29.72187867195113
29,-15.473024272397637,28.7764656131964
30,-15.256459790061532,28.823892735723238
31,-15.133989907721721,28.15080661407666
32,-14.933529187621339,27.590635370852343
33,-14.785614388901541,26.703834108706477
34,-14.543051548349831,26.07080052300557
35,-14.440000064845787,25.211371499083953
36,-14.323847491445063,24.757572011398608
37,-14.156481651164322,24.471777070051573
38,-14.046191810100064,24.68206591697644
39,-13.868699944858104,24.24487108259059
40,-13.787674328348022,23.873207031282536
41,-13.583074017819056,23.90831473539633
42,-13.496701734406608,23.58854381870359
43,-13.397711964113626,22.701352576965462
44,-13.232281080885992,21.59525410300379
45,-13.089048166900302,21.32697193658174
46,-13.029711664390208,21.297198535536907
47,-12.881128140635836,20.999864161395823
48,-12.858821469456402,19.960279733133213
49,-12.749935715659849,19.521266071018633
